Surnames
Abavu
Aila
Aisa
Aisi
Aiye
Aizue
Akia
Ako
Ali
Alu
Angara
Ani
Apa
Apo
Arua
Awai
Babo
Baloiloi
Baraka
Baru
Biri
Bito
Buka
Dai
Dau
Enuma
Evei
Gari
Gau
Gavera
Gawi
Geno
Gima
Gomia
Gorogo
Haija
Haro
Hau
Henao
Igo
Ila
Injia
Ioka
Joku
Kaina
Kala
Kali
Kama
Kambo
Kami
Kapa
Kapi
Kapu
Kari
Kariko
Karo
Kasi
Kaupa
Kavanamur
Kema
Keppa
Kewa
Kia
Kila
Kini
Koi
Kone
Kore
Kouoru
Kua
Kui
Kula
Kulu
Kuman
Kuri
Laka
Lama
Leka
Leo
Lepani
Lohia
Loi
Loko
Mai
Maibala
Maino
Maira
Maki
Mamando
Manu
Manuai
Marabe
Maru
Mase
Maso
Mek
Miria
Moi
Mondo
Moni
Morea
Mou
Na’awi
Nami
Natera
Nema
Nou
Nouairi
Nuia
Okul
Olewale
Oli
Omi
Ovia
Paiyo
Pala
Pandia
Paniu
Paru
Passingan
Peni
Pok
Pokana
Pomat
Pombo
Pora
Pulu
Raga
Raka
Rau
Ravu
Rawali
Rei
Renagi
Riyong
Roape
Sariman
Sau
Segeyaro
Sengoku
Sere
Solbat
Songoro
Tai
Tali
Taligatus
Tamarua
Tau
Taufa
Taviri
Tela
Tiki
Tiri
Toba
Tongap
Tongia
Toua
Vagi
Vai
Vali
Vele
Wabo
Wai
Wakit
Wala
Walo
Wanji
Wari
Yer
Yere
Abel
Albert
Alex
Allen
Amos
Andrew
Anton
Augustine
Ben
Billy
Boas
Bruno
Daniel
David
Elijah
Francis
Frank
Gabriel
Gene
George
Harry
Henry
Hosea
Jack
Jacob
James
Jerry
Jim
Joe
Joel
John
Joseph
Junior
Justine
Karl
Ken
Kenny
Lawrence
Luke
Mark
Martin
Mathew
Michael
Moses
Nelson
Nicholas
Otto
Paul
Peter
Philip
Robert
Roy
Sam
Samson
Samuel
Silas
Simon
Solomon
Stanley
Steven
Thomas
Timothy
Titus
Tom
Vincent
Wesley
William
Willie
